SMILES,SELFIES,Molecular_Weight,LogP,Solubility
COC(=O)/C=C/C(=O)Nc1ccc(/C=C/C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,[C][O][C][=Branch1][C][=O][/C][=C][/C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring2][N][/C][=C][/C][=Branch1][C][=O][N][C][C][N][Branch2][Ring1][#Branch2][C][=N][C][Branch1][C][N][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][C][Ring1][#Branch2][=N][Ring1][#C][C][C][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][#C],546.5840000000004,2.2588999999999997,149.20999999999998
COc1cc2nc(N3CCN(/C(S)=N/C4CCCCC4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][Branch2][N][C][C][N][Branch1][=C][/C][Branch1][C][S][=N][/C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][#C][=N][C][Branch1][C][N][=C][Ring2][Ring1][=Branch1][C][=C][Ring2][Ring1][#Branch2][O][C],430.5780000000004,2.9697000000000005,89.10000000000001
COc1cc2nc(N3CCN(C(=O)C4=CC5C=CC4CC5)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][O][N][C][C][N][Branch1][P][C][=Branch1][C][=O][C][=C][C][C][=C][C][Ring1][=Branch1][C][C][Ring1][=Branch1][C][C][Ring1][S][=N][C][Branch1][C][N][=C][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][O][O][C],421.5010000000003,2.4002000000000008,93.81
COc1cc2nc(N3CCN(S(=O)(=O)c4ccc(C)cc4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][=C][N][C][C][N][Branch2][Ring1][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][C][Ring1][S][=N][C][Branch1][C][N][=C][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][O][O][C],443.5290000000003,2.04852,110.88
COc1cc2nc(N3CCN(/C(S)=N/c4ccccc4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][Branch2][N][C][C][N][Branch1][=C][/C][Branch1][C][S][=N][/C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#C][=N][C][Branch1][C][N][=C][Ring2][Ring1][=Branch1][C][=C][Ring2][Ring1][#Branch2][O][C],424.53000000000026,2.9687,89.10000000000001
O=C(c1ccc(-n2ncc(=O)[nH]c2=O)cc1)c1cccs1,[O][=C][Branch2][Ring1][#Branch1][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C][C][=C][C][=C][S][Ring1][Branch1],299.31100000000004,1.2133,84.82
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,[C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][=C][Ring1][=C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],293.326,1.8200199999999997,67.75
Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,[C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][Branch1][C][Cl][=C][Ring1][#C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],376.19900000000007,2.7670200000000005,84.82
O=C(c1ccccc1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,[O][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][Ring1][=C],293.28200000000004,1.1517999999999993,84.82
Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(=O)c1ccc(Cl)cc1,[C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][Branch1][C][C][=C][Ring1][#C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],355.78100000000006,2.42204,84.82
Cc1cc(Cl)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1C,[C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C][C],355.7810000000001,2.42204,84.82
CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,[C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C][Cl],265.656,0.7767999999999999,84.82
O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,[O][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C][Cl],327.7270000000001,1.8051999999999997,84.82
